timestamp,i,in_amt,old_swap_out_amt,ng_swap_out_amt,old_swap_balances_a,old_swap_balances_b,ng_swap_balances_a,ng_swap_balances_b,old_swap_xcp_profit,ng_swap_xcp_profit,old_swap_D,ng_swap_D,old_swap_lp_price,ng_swap_lp_price,old_swap_virtual_price,ng_swap_virtual_price,old_swap_price_scale,old_swap_price_oracle,ng_swap_price_scale,ng_swap_price_oracle,ng_swap_xcp_oracle,old_swap_last_price,ng_swap_last_price,ng_fee_receiver_balances_a,ng_fee_receiver_balances_b,old_fee_receiver_admin_balances,old_swap_totalSupply,ng_swap_totalSupply,old_swap_fee,ng_swap_fee
1705742370,0,1187.827708133165,1184.001011784126,1184.2855963934433,99970650.03099781,100053412.17018037,99974711.57592049,100050082.91334973,1.000062928496648,1.0001243924528767,200063782.58389482,200068621.12546983,1.9993920957924471,2.00063017574783,1.0000894372505194,1.0001240704616208,1.0003970097137713,0.999213446379946,1.0004380639511121,1.0003820239098309,100011575.12267442,1.0032320042896525,1.0003807936725093,3108.6392093381437,3110.9828249495263,3096384254738078321186,100003096384254738078321186,100000000000000000000000000,26030913,26029278
1705742779,0,1623.855947270235,1619.080412667467,1619.011628379317,99972273.88694508,100051793.0897677,99976335.43186776,100048463.90172134,1.000062949625776,1.0001244135814846,200078399.72750336,200068625.3521155,2.000905593661405,2.0006297545331173,1.000089502333389,1.0001240915902219,1.0005430676771896,1.000726655928306,1.0004380639511121,1.0003815603988946,100011580.56428088,1.0029495351592206,1.0003823784142254,3109.2176609301373,3111.460822887974,3096384254738078321186,100003096384254738078321186,100000000000000000000000000,26036901,26027709
1705743394,0,2968.6486728690347,2959.4994276393836,2959.786735383729,99975242.53561795,100048833.59034006,99979304.08054064,100045504.11498597,1.000062988256774,1.000124452203576,200104701.8318929,200068633.07822302,2.0020357524917567,2.0006302480020817,1.0000896290964287,1.000124130212301,1.0008058920229996,1.00185718940624,1.0004380639511121,1.0003819766367388,100011588.70046876,1.0030914840341594,1.0003852699512428,3110.275097094727,3112.334526498199,3096384254738078321186,100003096384254738078321186,100000000000000000000000000,26048940,26024951
1705744178,1,3438.504091057799,3432.0479133031645,3430.8698492378144,99971810.48770465,100052272.09443112,99975873.21069139,100048942.61907703,1.0000630330629192,1.0001244969611842,200140460.39634326,200068642.03170225,2.002770721878638,2.0006323002416857,1.0000898257807098,1.0001241749698948,1.0011632167590132,1.0025925157030677,1.0004380639511121,1.000383939476106,100011599.00500043,0.9981223876477493,1.0003819188222407,3111.286757679069,3113.560705136598,3096384254738078321186,100003096384254738078321186,100000000000000000000000000,26079575,26028159
1705744770,1,3562.209682903183,3556.7025764881305,3554.2873910554,99968253.78512816,100055834.30411403,99972318.92330034,100052504.82875992,1.0000630795458858,1.0001245433352253,200124761.42424273,200068651.30853873,2.000557800352482,2.000631391631519,1.00008979916477,1.000124221343921,1.001006214170518,1.0003782038165374,1.0004380639511121,1.0003829380325198,100011606.74284187,0.9984540195818669,1.000378436710676,3112.334888805235,3114.831233731912,3096384254738078321186,100003096384254738078321186,100000000000000000000000000,26072822,26031687
1705745018,0,8895.705899002345,8864.37711624074,8869.16139954428,99977149.49102716,100046969.92699778,99981214.62919934,100043635.66736038,1.0000631953961692,1.0001246590609918,200102628.0444055,200068674.45875356,2.000078514110088,2.0006305011713192,1.000089831142271,1.0001243370696502,1.0007847440300675,0.9998988634682647,1.0004380639511121,1.0003818160015754,100011609.98100543,1.0035342339738917,1.0003871094887116,3115.503710522126,3117.4488056755163,3096384254738078321186,100003096384254738078321186,100000000000000000000000000,26045284,26023268
1705745710,1,587.1897807397371,586.0778615579931,585.88823854349,99976563.4131656,100047557.11677852,99980628.7409608,100044222.85714112,1.0000632030454282,1.0001246667029233,200124940.93257532,200068675.9874741,2.0020789420479,2.0006334312320764,1.0000899239148529,1.0001243447115793,1.0010077602114817,1.0018998249371391,1.0004380639511121,1.00038473097162,100011619.07646643,0.998106371707724,1.0003865387560458,3115.676417448435,3117.6581882231003,3096384254738078321186,100003096384254738078321186,100000000000000000000000000,26060697,26023784
1705746118,0,2740.274411125463,2730.606171886603,2732.0841310457677,99979303.68757673,100044826.51060663,99983369.01537193,100041490.77301008,1.000063238728406,1.0001247023489648,200110327.37047678,200068683.11824146,2.0006539087112434,2.0006341822990117,1.0000899043831772,1.0001243803576092,1.0008616130784909,1.0004741135076443,1.0004380639511121,1.0003854107790933,100011624.39696045,1.003540693395628,1.0003891989864944,3116.652593042833,3118.4643476220103,3096384254738078321186,100003096384254738078321186,100000000000000000000000000,26047370,26021424
1705746538,1,3991.9031730250504,3984.6339918074677,3983.05615505243,99975319.05358492,100048818.41377966,99979385.95921688,100045482.6761831,1.0000632907453817,1.0001247543035476,200126172.44227415,200068693.51143038,2.0018324970819883,2.000635743227364,1.0000900194220865,1.0001244323121754,1.0010198888687005,1.0016529920295385,1.0004380639511121,1.0003868678782566,100011629.86161979,0.9981790186528813,1.0003853202905755,3117.8267077290666,3119.8879137214153,3096384254738078321186,100003096384254738078321186,100000000000000000000000000,26063344,26024904
1705747075,1,2062.7901328660305,2059.3340245946756,2058.212046267034,99973259.71956033,100050881.20391253,99977327.74717061,100047545.46631597,1.0000633176410951,1.000124781152647,200106713.71148404,200068698.88242456,2.000227077375834,2.0006350812402127,1.0000899677873045,1.0001244591612661,1.0008253387181303,1.00004713811585,1.0004380639511121,1.0003861521333204,100011636.83972074,0.9983245468279641,1.000383311155649,3118.433431105869,3120.623620499535,3096384254738078321186,100003096384254738078321186,100000000000000000000000000,26052796,26026804
