block,timestamp,virtual_price,xcp_profit,price_scale,price_oracle,donation_shares,totalSupply,last_donation_release_ts,donation_protection_expiry_ts,balances_0,balances_1,D
23477434,1759254959,1005287578858892072,1006220205405072542,114399274945065563690966,113993617647289122094400,1031731008559937590,3095781739322395218819,1759226567,1759223857,1032376663872877089479495,937860493,2105243244182795684791706
23477435,1759254971,1005287578858892072,1006220205405072542,114399274945065563690966,113993617647289122074167,1031731008559937590,3095781739322395218819,1759226567,1759223857,1032376663872877089479495,937860493,2105243244182795684791706
23477436,1759254983,1005287578858892072,1006220205405072542,114399274945065563690966,113993617647289122054440,1031731008559937590,3095781739322395218819,1759226567,1759223857,1032376663872877089479495,937860493,2105243244182795684791706
23477437,1759254995,1005287578858892072,1006220205405072542,114399274945065563690966,113993617647289122034713,1031731008559937590,3095781739322395218819,1759226567,1759223857,1032376663872877089479495,937860493,2105243244182795684791706
23477438,1759255007,1005287578858892072,1006220205405072542,114399274945065563690966,113993617647289122015492,1031731008559937590,3095781739322395218819,1759226567,1759223857,1032376663872877089479495,937860493,2105243244182795684791706
23477439,1759255019,1005287578858892072,1006220205405072542,114399274945065563690966,113993617647289121996523,1031731008559937590,3095781739322395218819,1759226567,1759223857,1032376663872877089479495,937860493,2105243244182795684791706
23477440,1759255031,1005287578858892072,1006220205405072542,114399274945065563690966,113993617647289121977807,1031731008559937590,3095781739322395218819,1759226567,1759223857,1032376663872877089479495,937860493,2105243244182795684791706
23477441,1759255043,1005287578858892072,1006220205405072542,114399274945065563690966,113993617647289121959345,1031731008559937590,3095781739322395218819,1759226567,1759223857,1032376663872877089479495,937860493,2105243244182795684791706
23477442,1759255055,1005287578858892072,1006220205405072542,114399274945065563690966,113993617647289121941135,1031731008559937590,3095781739322395218819,1759226567,1759223857,1032376663872877089479495,937860493,2105243244182795684791706
23477443,1759255067,1005287578858892072,1006220205405072542,114399274945065563690966,113993617647289121922925,1031731008559937590,3095781739322395218819,1759226567,1759223857,1032376663872877089479495,937860493,2105243244182795684791706
23477444,1759255079,1005287578858892072,1006220205405072542,114399274945065563690966,113993617647289121905221,1031731008559937590,3095781739322395218819,1759226567,1759223857,1032376663872877089479495,937860493,2105243244182795684791706
23477445,1759255091,1005287578858892072,1006220205405072542,114399274945065563690966,113993617647289121887770,1031731008559937590,3095781739322395218819,1759226567,1759223857,1032376663872877089479495,937860493,2105243244182795684791706
23477446,1759255103,1005287578858892072,1006220205405072542,114399274945065563690966,113993617647289121870572,1031731008559937590,3095781739322395218819,1759226567,1759223857,1032376663872877089479495,937860493,2105243244182795684791706
