block,timestamp,virtual_price,xcp_profit,price_scale,price_oracle,donation_shares,totalSupply,last_donation_release_ts,donation_protection_expiry_ts,balances_0,balances_1,D
23467819,1759138859,1015717429687652264,1016799648820467312,112105614042162047684922,112635868814064047140595,840531377725257240,3034553378364907247125,1759137431,1759137433,1058339950625164874605119,8971317498315398078,2064007935922957264084082
23467820,1759138871,1015717429687652264,1016799648820467312,112105614042162047684922,112636463992462975182535,840531377725257240,3034553378364907247125,1759137431,1759137433,1058339950625164874605119,8971317498315398078,2064007935922957264084082
23467821,1759138883,1015717429687652264,1016799648820467312,112105614042162047684922,112637050980463629505426,840531377725257240,3034553378364907247125,1759137431,1759137433,1058339950625164874605119,8971317498315398078,2064007935922957264084082
23467822,1759138895,1015717429687652264,1016799648820467312,112105614042162047684922,112637629890776121905726,840531377725257240,3034553378364907247125,1759137431,1759137433,1058339950625164874605119,8971317498315398078,2064007935922957264084082
23467823,1759138907,1015717429687652264,1016799648820467312,112105614042162047684922,112638200834559532243308,840531377725257240,3034553378364907247125,1759137431,1759137433,1058339950625164874605119,8971317498315398078,2064007935922957264084082
23467824,1759138919,1015717429687652264,1016799648820467312,112105614042162047684922,112638763921443252577404,840531377725257240,3034553378364907247125,1759137431,1759137433,1058339950625164874605119,8971317498315398078,2064007935922957264084082
23467825,1759138931,1015717429687652264,1016799648820467312,112105614042162047684922,112639319259548037581561,840531377725257240,3034553378364907247125,1759137431,1759137433,1058339950625164874605119,8971317498315398078,2064007935922957264084082
23467826,1759138943,1015717429687652264,1016799648820467312,112105614042162047684922,112639866955506765280077,840531377725257240,3034553378364907247125,1759137431,1759137433,1058339950625164874605119,8971317498315398078,2064007935922957264084082
23467827,1759138955,1015715124961635394,1016807010971424836,112212572656626620498251,112640407114484912087887,838413372071068596,3034551260359253058481,1759138955,1759137433,1056855341532491006360386,8984628067310223636,2064986196840841131287640
23467828,1759138967,1015715124961635394,1016807010971424836,112212572656626620498251,112640491247591401593364,838413372071068596,3034551260359253058481,1759138955,1759137433,1056855341532491006360386,8984628067310223636,2064986196840841131287640
23467829,1759138979,1015715124961635394,1016807010971424836,112212572656626620498251,112640574222921245650433,838413372071068596,3034551260359253058481,1759138955,1759137433,1056855341532491006360386,8984628067310223636,2064986196840841131287640
23467830,1759138991,1015715124961635394,1016807010971424836,112212572656626620498251,112640656056406897209857,838413372071068596,3034551260359253058481,1759138955,1759137433,1056855341532491006360386,8984628067310223636,2064986196840841131287640
23467831,1759139003,1015715124961635394,1016807010971424836,112212572656626620498251,112640736763761558766773,838413372071068596,3034551260359253058481,1759138955,1759137433,1056855341532491006360386,8984628067310223636,2064986196840841131287640
23467832,1759139015,1015715124961635394,1016807010971424836,112212572656626620498251,112640816360482199520861,838413372071068596,3034551260359253058481,1759138955,1759137433,1056855341532491006360386,8984628067310223636,2064986196840841131287640
23467833,1759139027,1015715124961635394,1016807010971424836,112212572656626620498251,112640894861852531016593,838413372071068596,3034551260359253058481,1759138955,1759137433,1056855341532491006360386,8984628067310223636,2064986196840841131287640
