block,timestamp,virtual_price,xcp_profit,price_scale,price_oracle,donation_shares,totalSupply,last_donation_release_ts,donation_protection_expiry_ts,balances_0,balances_1,D
23450856,1758933983,1005447190989441380,1005968821850818621,109043357611821738817578,109454458586982201160202,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450857,1758933995,1005447190989441380,1005968821850818621,109043357611821738817578,109454458587232559967248,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450858,1758934007,1005447190989441380,1005968821850818621,109043357611821738817578,109454458587479473524214,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450859,1758934019,1005447190989441380,1005968821850818621,109043357611821738817578,109454458587722989242393,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450860,1758934031,1005447190989441380,1005968821850818621,109043357611821738817578,109454458587963153880102,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450861,1758934043,1005447190989441380,1005968821850818621,109043357611821738817578,109454458588200013552161,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450862,1758934055,1005447190989441380,1005968821850818621,109043357611821738817578,109454458588433613739360,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450863,1758934067,1005447190989441380,1005968821850818621,109043357611821738817578,109454458588663999296172,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450864,1758934079,1005447190989441380,1005968821850818621,109043357611821738817578,109454458588891214460008,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450865,1758934103,1005447190989441380,1005968821850818621,109043357611821738817578,109454458589336307522189,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450866,1758934115,1005447190989441380,1005968821850818621,109043357611821738817578,109454458589554270884935,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450867,1758934127,1005447190989441380,1005968821850818621,109043357611821738817578,109454458589769234799585,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450868,1758934139,1005447190989441380,1005968821850818621,109043357611821738817578,109454458589981240542036,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450869,1758934151,1005447190989441380,1005968821850818621,109043357611821738817578,109454458590190328820689,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450870,1758934163,1005447190989441380,1005968821850818621,109043357611821738817578,109454458590396539783498,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450871,1758934175,1005447190989441380,1005968821850818621,109043357611821738817578,109454458590599913025899,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450872,1758934187,1005447190989441380,1005968821850818621,109043357611821738817578,109454458590800487598306,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450873,1758934199,1005447190989441380,1005968821850818621,109043357611821738817578,109454458590998302014256,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450874,1758934211,1005447190989441380,1005968821850818621,109043357611821738817578,109454458591193394256359,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450875,1758934223,1005447190989441380,1005968821850818621,109043357611821738817578,109454458591385801785774,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450876,1758934235,1005447190989441380,1005968821850818621,109043357611821738817578,109454458591575561547271,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450877,1758934247,1005447190989441380,1005968821850818621,109043357611821738817578,109454458591762709977165,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450878,1758934259,1005447190989441380,1005968821850818621,109043357611821738817578,109454458591947283011027,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450879,1758934271,1005447190989441380,1005968821850818621,109043357611821738817578,109454458592129316089409,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450880,1758934283,1005447190989441380,1005968821850818621,109043357611821738817578,109454458592308844165117,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450881,1758934295,1005447190989441380,1005968821850818621,109043357611821738817578,109454458592485901710258,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450882,1758934307,1005447190989441380,1005968821850818621,109043357611821738817578,109454458592660522722410,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
23450883,1758934319,1005447190989441380,1005968821850818621,109043357611821738817578,109454458592832740731452,278368391813636841,3041417440726392236981,1758919859,1758882167,1030793149958650088875420,906839535,2019597854402374363296013
